mean,std
9.679803,0.024569119303168442
18.80263,0.03520937532974806
36.81695,0.09797661002051093
53.93229,0.11106087870072898
69.56325,0.16538199720646687
85.12942,0.5156058223100256
98.37365,0.34602724122049544
110.5703,0.11603931326159501
117.9152,1.3247451578825773
125.133,0.05483510635431142
134.6721,0.10634059536330112
143.4699,0.06582881841057793
151.3893,0.1489146287866575
160.13830000000002,0.9336779185326991
168.6518,1.175870911282357
179.4142,2.9681581943465623
187.2263,2.873249072623765
199.0038,3.5588989183610047
204.9719,3.612907061264287
216.42579999999998,3.4435821078251294
221.0936,3.5862811193026483
228.3493,2.771024962797056
233.2828,5.140380850568264
242.2903,0.8946771050061704
245.9084,2.0728518840798342
246.1951,1.6935049420916648